resourceId,oper_inst_nm,charging_station,charger_id,charger_type,fclt_se_l,fclt_se_s,region,sgg,address,utztn_psblty_tm,utztn_user_lmt,charging_capacity,con_pvsn,remark,lat,lon,charger_count
1,서울시,마천동1 공영주차장,01,AC완속,주차시설,공영주차장,서울특별시,"송파구 ",서울특별시 송파구 성내천로43길 6 마천동1 공영주차장 1층,24시간 이용가능,,완속(7kW단독),,,37.495284837,127.15561120399998,3
2,서울시,망우역사문화공원 제3주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"중랑구 ",서울특별시 중랑구 망우동 산 56 망우역사문화공원 공영주차장 출구 주차장 출구 인근,24시간 이용가능,,급속(50kW단독),,,37.60010806200103,127.11199060615402,4
3,서울시,망우제2 거주자주차장,01,DC콤보,주차시설,일반주차장,서울특별시,"중랑구 ","서울특별시 중랑구 망우로71길 53 (망우동, 망우제2거주자주차장) 지상1층 진입로 정면 20M","주중 08:00~19:00, 주말 09:00~18:00",,급속(50kW단독),,,37.602780798,127.102038946,1
4,서울시,망원3 노상공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"마포구 ",서울특별시 마포구 희우정로 125 유로5번(동덕주택 앞),24시간 이용가능,,급속(50kW단독),,,37.555435294,126.899375876,1
5,서울시,면목5동 공영주차장,01,DC콤보,공공시설,지자체시설,서울특별시,"중랑구 ",서울특별시 중랑구 동일로 593 면목5동 공영주차장,24시간 이용가능,,급속(100kW단독),,,37.583348001,127.079464754,2
6,서울시,면일초등학교 공영주차장,01,DC콤보,공공시설,지자체시설,서울특별시,"중랑구 ",서울특별시 중랑구 용마산로100길 13 면일초등학교 공영주차장,24시간 이용가능,,급속(50kW단독),,,37.592302378,127.09987887799998,3
7,서울시,명일동 거주자주차장(127번),01,DC콤보,주차시설,공영주차장,서울특별시,"강동구 ",서울특별시 강동구 명일동 51-1 유료 127번주차구획 127번,24시간 이용가능,,급속(50kW단독),,,37.551760620039666,127.15446195600163,1
8,서울시,명일동 거주자주차장(134번),01,DC콤보,주차시설,공영주차장,서울특별시,"강동구 ",서울특별시 강동구 명일동 51-1 유료 134번 구획주차구획 134번,24시간 이용가능,,급속(50kW단독),,,37.551760620039666,127.15446195600163,1
9,서울시,목동공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"양천구 ",서울특별시 양천구 목동동로 298 목동공영주차장목동공영주차장,24시간 이용가능,,급속(100kW단독),,,37.52679793599999,126.87652434899998,13
10,서울시,문정1동 주민센터 앞 전기차 충전소,01,AC완속,주차시설,공영주차장,서울특별시,"송파구 ",서울특별시 송파구 동남로 116 주민센터 앞 노상 공영주차장,24시간 이용가능,,완속(7kW단독),,,37.490076198,127.124179165,1
11,서울시,문정근린공원 공영주차장,01,AC완속,주차시설,공영주차장,서울특별시,"송파구 ",서울특별시 송파구 문정로 지하12 문정근린공원 공영주차장,24시간 이용가능,,완속(7kW단독),,,37.486662755,127.127817886,3
12,서울시,문정동 세광교회 앞 전기차 충전소,01,AC완속,주차시설,공영주차장,서울특별시,"송파구 ",서울특별시 송파구 동남로4길 37 세광교회 앞문정골길노상공영주차장(세광교회 앞),24시간 이용가능,,완속(7kW단독),,,37.486869675,127.125124886,1
13,서울시,문화재청 궁능유적본부,01,AC완속,공공시설,지자체시설,서울특별시,"강남구 ",서울특별시 강남구 선릉로100길 1 문화재청 궁능유적본부,24시간 이용가능,,완속(7kW단독),,,37.507367676,127.047166015,2
14,서울시,미아동 도봉세무서 앞 전기차 충전소,01,AC완속,주차시설,공영주차장,서울특별시,"강북구 ",서울특별시 강북구 도봉로 117 도봉세무서 앞,24시간 이용가능,,완속(7kW단독),,,37.61975571,127.028244626,1
15,서울시,미아동 축산농협 전기차 충전소,01,AC완속,주차시설,공영주차장,서울특별시,"강북구 ",서울특별시 강북구 도봉로 136 건물 뒷편 교육청길노상공영주차장,24시간 이용가능,,완속(7kW단독),,,37.621238133,127.028795485,2
16,서울시,미아동공영주차장,01,DC콤보,주차시설,공영주차장,서울특별시,"강북구 ",서울특별시 강북구 도봉로61길 46 옥상층옥상층,24시간 이용가능,,급속(50kW단독),,,37.628473788,127.022373091,1
